Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Ingénieur chargé d'étude en hydraulique urbaine,immédiate,10 - TROYES,,Analyse statistique Big data Analytics Environnement nature Génie civil Géochimie Géophysique Géotechnique Hydraulique Hydrogéologie Hydrologie Logiciel de statistiques Mécanique des fluides Modélisation et simulation Modélisation statistique Piézométrie Sciences de la vie et de la terre Stratigraphie Système dInformation Géographique SIG,Ingénieur détude BRGM Service Géologique Nationale Orléans 3 Ans,CDD,Autre,36.0,10,417
DIPLÔMÉ EN INGÉNIEUR AGROALIMENTAIRE ET EN GESTION DE PROJET,immédiate,17 - LA ROCHELLE,Faire preuve dautonomie Faire preuve de rigueur et de précision GESTION DE PRODUITS RECHERCHE DE MARCHE RECHERCHE ET ANALYSE,Administrer une enquête un sondage Intermédiaire Concevoir conduire et vérifier des travaux danalyse en laboratoire dans le respect des Bonnes Pratiques de Laboratoire BPL Intermédiaire Concevoir des modèles théoriques calcul simulation modélisation Avancé Concevoir et animer une démarche dinnovation Avancé Concevoir et coordonner un programme un projet de recherche Avancé Conduire des travaux détudes et de recherche Avancé Créer concevoir de nouveaux produits ou des améliorations produits Avancé Déterminer des axes dévolution technologiques Avancé Procéder à des tests expérimentations Intermédiaire Réaliser des tests de produit auprès dun panel de consommateurs Intermédiaire Réaliser une étude dopportunité et de faisabilité technique et économique Avancé Réaliser une étude de brevetabilité Débutant Réaliser une veille technique ou technologique pour anticiper les évolutions Intermédiaire,MSc Entrepreneuriat digital et Gestion de projet Bac5 et plus ou équivalents 3 Ans,CDD-alternance,Autre,36.0,17,418
Ingénieur généraliste,immédiate,04 - DIGNE-LES-BAINS,Recueillir et analyser les besoins client Réaliser la mise en production de solutions logicielles dans un environnement dexploitation Réaliser un diagnostic technique Anglais Chinois Mandarin,Algorithmique Architecture propriétaire Business Intelligence BI Informatique décisionnelle CC Débutant Ergonomie Gestion de linformation stratégique Informatique industrielle Intermédiaire Intelligence économique Java Débutant Logiciel de traitement de texte Avancé Logiciel tableur Avancé Progiciels de gestion intégrée dentreprise ERP Intermédiaire Python Intermédiaire Sociologie des organisations SQL Avancé Stratégies de communication Stratégies de communication externe Système de Gestion de Bases de Données SGBD Avancé,Formation Data Analyst Analytics Engineer chez ARTEFACT School of Data Bac5 et plus ou équivalents 5 Ans,CDD,Autre,60.0,04,419
coordinateur Logistique,immédiate,02 - LAON,Animer coordonner une équipe Organiser son travail selon les priorités et les objectifs Prendre des initiatives et être force de proposition Respecter ses engagements assumer ses responsabilités,Argumentation commerciale Électricité Électronique Gestes et postures de manutention Gestion de parc informatique Manipulation de bobine Optique Sculpture Système informatique embarqué ou fixe,Chef de quai AGEDISS Mer 41500 LOIR ET CHER 3 Ans,Intérim,Autre,36.0,02,420
Game designer,immédiate,44 - NANTES,Concevoir un projet décriture Gestion de projet Anglais niveau avancé B2 Concevoir des projets en jeux vidéo game design,Algorithmique Anglais niveau avancé B2 Avancé Argumentation commerciale Basic CC C Conception et réalisation de sites web danimation de jeux vidéo CSS Écriture de scénario Espagnol Intermédiaire Histoire du cinéma HTML Informatique de gestion Java Langages de programmation de Commande Numérique CN Avancé Langages de programmation informatique Avancé Logiciel danimation 3D Débutant Management de proximité Intermédiaire PHP Programmation logicielle Projet multimédia Avancé Projet pour le cinéma Projet radiophonique ou télévisé Intermédiaire Python Site de vente en ligne Débutant Storytelling communication narrative Avancé Technologies de laccessibilité numérique Avancé Théâtre contemporain Avancé Types de plans de vue,Unity Developper Blackfoot Sarl Paris 3 Ans,CDD-alternance,Autre,36.0,44,421
Chargée d’affaire -Ingenieur en génie civil-Ingénieur études de prix,immédiate,49 - ANGERS,Archicad Autocad Microsoft Project Opérations de coordination de piste,Acoustique thermique Archicad Avancé Autocad Avancé Business Intelligence BI Informatique décisionnelle Caractéristiques des produits financiers Commerce international Conception et Dessin Assistés par Ordinateur CAODAO Construction durable Écoconstruction Économie de la construction Économie des marchés financiers Génie électrique Génie sanitaire Informatique Avancé Logiciel de gestion clients Microsoft Access Avancé Microsoft Project Avancé Microsoft Word Avancé Négociation Opérations de coordination de piste Avancé Réhabilitation de lhabitat Routes VRD Suite bureautique LibreOffice Avancé Travaux publics génie civil,Commerce international Export du Sel CIHANBEYLI TUZ AVRASYA KONYATURQUIE 5 Ans,CDD,Autre,60.0,49,422
Développeur Full Stack,immédiate,27 - ÉVREUX,Nodejs Bootsrap Design Javascript Reactjs,CSS Avancé Design Avancé Gestion de version GIT Intermédiaire GitHub Avancé GitLab Avancé HTML Avancé Javascript Avancé Microsoft Access Intermédiaire Microsoft Visual Studio Avancé Modélisation 3D Intermédiaire Nodejs Intermédiaire Postman Avancé Reactjs Avancé Réseaux de fibre optique Fiber To The Home FTTH Avancé SQL Intermédiaire Système dexploitation informatique VMWare virtualisation darchitecture Débutant,CV Cette Expérience contient une pièce jointe 2 Ans,CDD-alternance,Développeur,24.0,27,423
Consultant IT / Recette / AMOA / Business Analyste – Bilingue en anglais,immédiate,45 - ORLÉANS,Animation dinstances agiles mêlée démonstration rétrospective … Méthode AGILE Mettre en oeuvre les actions de transformation nécessaires aux changements Procéder aux phases de tests et de recettes des applications développées Rédiger un cahier des charges des spécifications techniques,Analyse statistique Avancé Finance Avancé Gestion budgétaire Avancé Gestion commerciale relation clients Avancé Logiciel de gestion clients Avancé Management électronique de relation client eCRM Avancé Progiciels de gestion intégrée dentreprise ERP Avancé Salesforce Avancé,Master en stratégie et gestion dentreprise Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Autre,12.0,45,424
Chercheur en Biologie Santé,immédiate,26 - VALENCE,Biologie Comprendre interpréter des données et documents techniques Déterminer et développer les méthodes de recherche de recueil et danalyse de données Méthodologie de recherche Procéder à des tests expérimentations,Analyser exploiter structurer des données Avancé Comprendre interpréter des données et documents techniques Avancé Déterminer et développer les méthodes de recherche de recueil et danalyse de données Avancé,Chercheur en Biologie Histide LAB LYON 5 Ans,CDD,Autre,60.0,26,425
Pigiste Presse Informatique / Jeux Vidéo / High Tech / Pop Culture,immédiate,74 - ANNECY,Appliquer les règles de diffusion de linformation et de la communication Historien informatique et Jeu Vidéo Rédacteur Presse Jeu Vidéo Rédiger du contenu web Testeur rédacteur community manager Jeux Vidéo,Application web Avancé Chaîne graphique Avancé Colorimétrie Avancé Fireworks Intermédiaire Illustrator Intermédiaire Image de synthèse Intermédiaire LightWave Intermédiaire Logiciel de traitement de texte Avancé Logiciels dédition multimédia Avancé Logiciel tableur Débutant Maya Débutant Outils de traitement ou dintégration en images Avancé Outils de web analyse web analytics Avancé Photoshop Avancé Publication Assistée par Ordinateur PAO Avancé Quark Express Intermédiaire Typographie Intermédiaire Webmarketing Avancé,Responsable Communication et Support Long Watch Studio RemoteCette Expérience contient une pièce jointe 1 Ans,CDD-alternance,Autre,12.0,74,426
Ingénierie IoT,immédiate,11 - CARCASSONNE,,Apprentissage automatique machine learning Débutant Cloud computing Intermédiaire GitHub Intermédiaire Intelligence artificielle Intermédiaire Python Avancé Système réseau LAN MAN WAN Intermédiaire Systèmes dexploitation informatique Débutant Technologie de linternet Intermédiaire,ARCHITECTURE AND ENGINEERING FOR THE INTERNET OF THINGS Bac5 et plus ou équivalentsCette Formation contient une pièce jointe 4 Ans,CDI,Autre,48.0,11,427
"Docteur d'apprentissage automatique, 8 ans des formations et d'expériences de recherches",immédiate,33 - BORDEAUX,Faire preuve dautonomie Faire preuve de curiosité Algorithmique Réaliser un modèle de prévision Anglais,Adapter les outils de traitement statistique de données Analyser exploiter structurer des données Comprendre interpréter des données et documents techniques Définir et faire évoluer des procédés de traitement de linformation Déterminer et développer les méthodes de recherche de recueil et danalyse de données Réaliser un modèle de prévision,chercheur en AI INSARouen Rouen FranceCette Expérience contient une pièce jointe 2 Ans,CDI,Autre,24.0,33,428
Business analyst,immédiate,21 - DIJON,,Apache Approvisionnement en ligne E achat Big data Analytics Communication interculturelle Google Analytics Insights marketing JIRA Maîtrise des méthodes de résolution de problèmes Microsoft Excel MySQL Nuke Oracle Photographie Python SharePoint Technologies informatiques Technologies SPARK Framework Visioconférences,MSc Data Analytics Bac5 et plus ou équivalents 4 Ans,CDI,Autre,48.0,21,429
"À la recherche d'un emploi dans l'informatique (IHM, XR ou IA)",immédiate,31 - TOULOUSE,C Créer et tester des algorithmes d’apprentissage automatique machine learning deep learning… Intelligence artificielle Réalité virtuelle et augmentée Unity,Anglais technique Application web Apprentissage automatique machine learning Avancé Architecture web CC C Conception et réalisation de sites web danimation de jeux vidéo Avancé CSS HTML Intelligence artificielle Avancé Java Javascript Intermédiaire Modélisation 3D Intermédiaire Nodejs Intermédiaire PHP Python Reactjs Réalité virtuelle et augmentée Avancé Script Shell SQL Symfony Intermédiaire XML,Stage recherche LabSTICC IMT Atlantique Brest 1 Ans,CDI,Autre,12.0,31,430
Ingénieur en machine learning,immédiate,28 - CHARTRES,,Analyse statistique Apprentissage automatique machine learning Logiciel de statistiques Modélisation statistique Python Avancé SQL Avancé Système dexploitation Windows Système de Gestion de Bases de Données SGBD,Ingénieur RD en Intelligence Artificielle Cotral Lab CondéenNormandie 4 Ans,CDD-alternance,Autre,48.0,28,431
Ingénieur / Ingénieure d'études en recherche scientifique,immédiate,02 - LAON,,Analyse statistique Environnement nature Avancé Géodésie HistoireGéographie Hydrographie Informatique Langages de programmation informatique Logiciel de cartographie Logiciel de gestion documentaire Logiciel de statistiques Photogrammétrie Sciences de linformation et de la communication Avancé Sciences de la vie et de la terre Système dInformation Géographique SIG Topographie,STIC Sciences et Technologies de lInformation et de la Commu Bac5 et plus ou équivalents 1 Ans,Intérim,Autre,12.0,02,432
